n \ Type R,U 10^3,U 10^4,WC 10^3,WC 10^4,SC 10^3,SC 10^4,ISC 10^3,ISC 10^4,ASC 10^3,ASC 10^4,SS 10^3,SS 10^4,SW 10^5
50,0,0,0,0,0.6,0.4,0.4,0.4,0.6,1.1,0.1,0.5,0.2
100,0,0,0.1,0.1,0.9,0.8,0.8,0.8,15.8,44,0.1,0.5,0.8
200,0,0,0.2,0.3,1.1,1.1,1.1,1.1,x,504.8,0.1,0.5,0.2
500,0.1,0.1,0.4,0.8,1.4,1.7,1.3,1.6,x,8.6,0.1,0.7,0.5
1000,0.1,0.2,0.7,2.1,1.7,2.4,1.7,2.1,x
