n \ Type R,U 10^3,U 10^4,WC 10^3,WC 10^4,SC 10^3,SC 10^4,ISC 10^3,ISC 10^4,ASC 10^3,ASC 10^4,SS 10^3,SS 10^4,SW 10^5
50,0.1,0.1,0.3,0.3,2,5.5,2.1,3.1,1.4,2.3,1.1,9.1,0.2
100,0.2,0.2,0.5,0.6,6.2,19.5,5.3,8.6,4.4,10.8,1.1,10.8,0.3
200,0.3,0.3,0.8,1.1,12.3,48.2,7.4,15.2,15.3,43.9,1.2,9.7,0.4
500,0.6,0.6,1.6,2.4,17.5,161.4,13.6,60,20.7
