n \ Type R,U 10^3,U 10^4,WC 10^3,WC 10^4,SC 10^3,SC 10^4,ISC 10^3,ISC 10^4,ASC 10^3,ASC 10^4,SS 10^3,SS 10^4,SW 10^5
50,0.100000,0.100000,0.400000,0.400000,1.700000,8.400000,1.200000,6.200000,1.300000,2.100000,1.300000,15.300000,0.100000
100,0.600000,0.600000,2.500000,2.700000,8.400000,76.200000,6.400000,60.300000,8.600000,19.100000,5.500000,85.600000,0.700000
200,4.100000,4.400000,15.600000,19.300000,37.100000,462.200000,28.400000,402.100000,45.200000
