n \ Type,U SP 2 10,WC SP 2 10,SC SP 2 10,MSTR 3R/10 2R/10 6,PCEIL 3,CIRCLE 2/3
50,54.2,174.7,99.5,163.5,583.1,104.4
100,149.8,604.6,353.9,861.9,1381.9,515.8
200,628.7,x,1525.7
