n \ Type R,U 10^3,U 10^4,WC 10^3,WC 10^4,SC 10^3,SC 10^4,ISC 10^3,ISC 10^4,ASC 10^3,ASC 10^4,SS 10^3,SS 10^4,SW 10^5
50,0.2,0.1,0.1,0.2,0.3,0.5,0.4,0.6,0.6,1.6,0.1,1.1,0.3
100,0.1,0.1,0.2,0.3,0.9,1,0.9,1.3,1.9,34.8,0.2,1.3,0.8
200,0.1,0.1,0.3,0.3,2.5,1.9,2,2.5,6.7,147.8,0.2,1.6,0.3
500,0.2,0.2,0.4,1.1,4.8,2.8,3.9,4.2,8.6,42.4,0.2,1.9,0.9
1000,0.3,0.4,0.6,1.6,9.8,6.7,9.2,7.1,12.7
