n \ Type R,U 10^3,U 10^4,WC 10^3,WC 10^4,SC 10^3,SC 10^4,ISC 10^3,ISC 10^4,ASC 10^3,ASC 10^4,SS 10^3,SS 10^4,SW 10^5
50,0,0,0,0,0.1,0.5,0.1,0.4,0.1,0.2,0.1,0.8,0
100,0,0,0.1,0.1,0.6,3.1,0.5,2.6,0.3,0.8,0.1,0.9,0
200,0,0,0.1,0.1,2.1,10.6,1.5,12.3,1.4,3.3,0.1,0.8,0
500,0.1,0.1,0.1,0.2,5.1
