n \ Type R,U 10^5,U 10^6,U 10^7,WC 10^5,WC 10^6,WC 10^7,SC 10^5,SC 10^6,SC 10^7,ISC 10^5,ISC 10^6,ISC 10^7,ASC 10^5,ASC 10^6,ASC 10^7,SS 10^5,SS 10^6,SS 10^7,SW 10^7,SW 10^8
50,0,0,0,0,0,0,4.3,12.8,4.6,4.3,8.4,5.9,4.2,19.9,6,10.4,141.3,1987,0.4,0.4
100,0,0,0,0.1,0.1,0.1,60.2,574.8,x,46.9,260.2,1829.3,2440.2,x,2056.7,13.5,228.4,2486.8,25.1,104.3
200,0,0,0,0.2,0.2,0.2,230.6,x,x,150.4,2068.4,x,x,x,x,21.1,632.3,x
