n \ ds,n3,n4,n5,n6,n7,n8
50,0.1,0.1,0.2,0.1,0.1,0.1
100,0.2,0.3,0.3,0.3,0.3,0.2
200,0.4,0.6,0.6,0.6,0.8,0.7
500,0.9,2.2,2.4,2.2,2.5,2.8
1000,1,5.1,5.9,6.2,6.7,6.1
2000,1.3,12,14.8,19.6,17,18.5
5000,1.5,30.3,55.7,82.6,58.9,68.8
10000,1.6,49.9,147.3,201.8,200.4,191.6
20000,2.5,72.6,455.5,559.1,609.5,540.8
50000,6,63.7,1117.7,2401.2,2985.4,2740.9
100000,11.7,60.1,2752.2,x,x,x
200000,23.4,83.8,x,x,x,x
500000,65.1,133.5,x,x,x,x
1000000,146.4,205.6,x,x,x,x

