n \ ds,n3,n4,n5,n6,n7,n8
50,0.7,7.3,121.7,2039.7,x,x
100,3.1,31.4,554.4,x,x,x
200,12,152.5,x,x,x,x
500,80.1,1350.7,x,x,x,x
1000,327.3,x,x,x,x,x
2000,1377.2,x,x,x,x,x
5000,x,x,x,x,x,x
10000,x,x,x,x,x,x
20000,x,x,x,x,x,x
50000,x,x,x,x,x,x
100000,x,x,x,x,x,x
200000,x,x,x,x,x,x
500000,x,x,x,x,x,x
1000000,x,x,x,x,x,x

