n \ Type R,U 10^3,U 10^4,WC 10^3,WC 10^4,SC 10^3,SC 10^4,ISC 10^3,ISC 10^4,ASC 10^3,ASC 10^4,SS 10^3,SS 10^4,SW 10^5
50,0.70,6.50,0.60,6.10,0.70,7.10,0.80,7.40,0.70,6.50,0.50,5.70,275.60
100,2.70,28.20,2.70,27.0,3.10,31.40,3.10,32.90,3.20,30.20,2.50,25.60,1179.70
200,15.0,184.20,15.0,177.70,16.0,204.60,16.30,220.80,17.60,199.20,13.40,160.50,x
500,179.80,x,179.50,x,178.70,x,190.0,x,20.40,x,159.40,2545.60,x
1000,1340.0,x,1326.70,x,1275.50,x,1402.30,x,1433.30,x,1196.20,x,x
2000,x,x,x,x,x,x,x,x,x,x,x,x,x
5000,x,x,x,x,x,x,x,x,x,x,x,x,x
10000,x,x,x,x,x,x,x,x,x,x,x,x,x
