n \ Type R,U 10^3,U 10^4,WC 10^3,WC 10^4,SC 10^3,SC 10^4,ISC 10^3,ISC 10^4,ASC 10^3,ASC 10^4,SS 10^3,SS 10^4,SW 10^5
50,0,0,0.1,0.1,3.4,9.9,6.9,6.2,2.6,1.9,0.1,0.5,0.5
100,0,0,0.3,0.3,1521.3,1991.2,2470.2,1422.6,287,1537.8,0.1,0.7,165
200,0.1,0.1,0.7,1,x,x,x,x,x,x,0.1,0.7,392.4
500,0.2,0.2,2.1,5.1,x,x,x,x,x,x,0.1,0.7,x
1000,0.6,0.7,3.8,14.7,x,x,x,x,x,x,0.1,0.6,x
2000,1.3,2.2,6.8,39.4,x,x,x,x,x,x,0.1,0.7,x
5000,3.2,9.6,4.6,134,x,x,x,x,x,x,0.2,0.7,x
10000,6.5,29.5,2.4,290.5,x,x,x,x,x,x,0.3,0.8,x

