n \ ds,sp/u3,sp/wc3,sp/sc3,mstr3,pceil3,circle3
50,0,0.1,0.1,0.1,0.1,0.1
100,0.1,0.1,0.1,0.3,0.3,0.1
200,0.2,0.5,0.4,0.9,0.9,0.4
500,1.1,2.6,2.9,2.9,5.3,1.2
1000,4.3,9.3,9.7,5.9,13.3,2.6
2000,17.1,38.8,42.9,11.3,43.3,5.7
5000,102.2,227.9,275.4,42,344.7,19.6
10000,427.9,911.1,1317.8,102.7,1330.7,41.4

