n \ Type,U SP 2 10,WC SP 2 10,SC SP 2 10,MSTR 3R/10 2R/10 6,PCEIL 3,CIRCLE 2/3
50,0.1,0.1,0.1,0.1,0.1,0.1
100,0,0.2,0.1,0.3,0.2,0.3
200,0.2,0.5,0.3,1.1,0.8,1.2
500,0.9,2.4,1.6,3.7,1.4,3
1000,3.1,9.3,6.2,6.8,2.7,7
2000,12.7,36.4,22.6,17.7,6.1,13.3
5000,85.3,130.3,132.3,55.2,13.1,41
10000,381.2,424.2,487.7,101.5,24.4,99.5

