n \ ds,sp/u3,sp/wc3,sp/sc3,mstr3,pceil3,circle3
50,0,0.1,0.1,0.2,0.6,0.3
100,0.1,0.1,0.2,0.7,1.1,3
200,0.1,0.4,0.3,1.9,2,11.5
500,0.2,0.7,0.8,5,5.8,35.8
1000,0.5,0.9,1.1,8.6,7,81.9
2000,0.9,1.9,2.9,16.8,12.7,174.2
5000,2,6.2,6.4,43.6,33.3,682.4
10000,3.9,11.9,16.8,85.9,61.6,1473.5

