n \ Type R,U 10^3,U 10^4,WC 10^3,WC 10^4,SC 10^3,SC 10^4,ISC 10^3,ISC 10^4,ASC 10^3,ASC 10^4,SS 10^3,SS 10^4,SW 10^5
50,0.700000,7.100000,0.700000,7.100000,0.800000,7.200000,0.900000,8.800000,0.800000,7.000000,0.900000,8.300000,294.800000
100,2.800000,28.400000,2.900000,28.700000,3.400000,31.100000,3.900000,37.600000,3.200000,29.300000,3.300000,33.100000,1236.300000
200,11.400000,119.500000,11.900000,121.900000,13.700000,135.900000,15.600000,163.700000,13.400000,123.400000,12.900000,134.500000,
500,71.200000,884.200000,74.800000,887.900000,82.000000,975.300000,95.200000,1195.300000,81.200000,908.100000,77.800000,947.300000,
1000,283.500000,,304.700000,,322.300000,,376.900000,,312.500000,,308.600000,,
2000,1186.000000,,1234.100000,,1289.900000,,1581.900000,,1269.000000,,1285.100000,,
5000,,,,,,,,,,,,,
10000,,,,,,,,,,,,,

