n \ ds,u5,u6,u7,wc5,wc6,wc7,sc5,sc6,sc7,isc5,isc6,isc7,asc5,asc6,asc7,ss5,ss6,ss7,sw7,sw8
50,0,0,0,0,0,0,12.8,4.8,10.5,5.3,4.4,2.9,5.9,2.8,2,4.9,46.2,535.2,2.3,2.3
100,0,0,0,0.1,0.1,0.1,x,2440.7,x,2364.6,1020.6,x,1141.1,2974.3,942.4,7.1,73.9,514.1,1629.8,1627.3
200,0,0,0,0.3,0.3,0.3,x,x,x,x,x,x,x,x,x,5.2,67.4,623.6,x,x
500,0.1,0.1,0.1,1,1,1,x,x,x,x,x,x,x,x,x,5.8,60,610.6,x,x
1000,0.2,0.2,0.2,2.7,3.3,2.9,x,x,x,x,x,x,x,x,x,6.4,63.2,718.9,x,x
2000,0.5,0.5,0.5,7.6,8.7,9.4,x,x,x,x,x,x,x,x,x,6.9,66,646.7,x,x
5000,1.7,1.9,1.8,27.8,39.2,27.7,x,x,x,x,x,x,x,x,x,7.1,56.7,601.6,x,x
10000,5.3,5.4,4.7,80.1,87.6,85.3,x,x,x,x,x,x,x,x,x,4.8,67.9,628.2,x,x

