n \ ds,n3,n4,n5,n6,n7,n8
50,0.1,0.1,0.1,0.1,0.1,0.1
100,0.3,0.3,0.3,0.3,0.4,0.2
200,0.4,0.8,0.7,0.7,1,0.8
500,1,2.7,3.1,2.9,3.1,3.4
1000,1.4,6.3,7.9,8.9,10.2,9
2000,1.8,14.3,22.8,25.4,26.4,26.2
5000,1.2,47.8,86.7,108.2,99.1,106.8
10000,1,78.1,227.8,269.1,264.5,278.3
20000,1.1,101.5,629.3,866.8,805.9,689.3
50000,1.3,102.8,1501.7,2907.6,2809.1,x
100000,2,69.1,x,x,x,x
200000,4.4,57.5,x,x,x,x
500000,12.3,32.3,x,x,x,x
1000000,26.2,39.8,x,x,x,x

