n \ Type R,U 10^3,U 10^4,WC 10^3,WC 10^4,SC 10^3,SC 10^4,ISC 10^3,ISC 10^4,ASC 10^3,ASC 10^4,SS 10^3,SS 10^4,SW 10^5
50,20.5,259.7,19.8,241.4,20,239.1,23.7,289.9,19.8,244,19.8,258.4,324.4
100,99.3,1406.6,97.3,1277.3,97.2,1262.3,119.2,1785.2,98.9,1287.1,97,1238.2,x
200,424.9,x,413.2,x,416.4,x,511.1,x,418.4,x,420.4,x,x
500,2711,x,2695.8,x,2727.1,x,x,x,2708.3,x,2719.7,x,x
1000,x,x,x,x,x,x,x,x,x,x,x,x,x
2000,x,x,x,x,x,x,x,x,x,x,x,x,x
5000,x,x,x,x,x,x,x,x,x,x,x,x,x
10000,x,x,x,x,x,x,x,x,x,x,x,x,x

