n \ Type R,U 10^5,U 10^6,U 10^7,WC 10^5,WC 10^6,WC 10^7,SC 10^5,SC 10^6,SC 10^7,ISC 10^5,ISC 10^6,ISC 10^7,ASC 10^5,ASC 10^6,ASC 10^7,SS 10^5,SS 10^6,SS 10^7,SW 10^7,SW 10^8
50,0,0,0,0,0,0,0.4,2,1.1,0.4,1,1.1,0.1,0.1,0.1,2.1,16.6,212.4,0,0
100,0,0,0,0.1,0,0,0.7,4.2,39.9,0.6,5.2,28.1,0.5,0.5,0.4,1,10.6,125.8,0,0
200,0,0,0,0.1,0.1,0.1,0.9,3.8,43.2,0.9,4.7,64.2,0.8,0.9,0.9,0.8,5.7,61.7,0,0.1
500,0.1,0.1,0.1,0.2,0.2,0.2,1.1,2.1,15.8,1,2.6,27.6,1.1,1.2,1,0.9,1.6,16,0.2,0.2
1000,0.1,0.1,0.1,0.4,0.4,0.4,1,1.5,8.5,0.9,1.6,19.3,1.4,1.3,2.4,1.2,1.6,9,0.3,0.3
2000,0.2,0.2,0.2,1.1,1.1,1.2,1.5,1.7,4.5,1.4,1.5,6,2.1,2.2,2.4,2,2.5,5.4,0.6,0.6
5000,0.4,0.4,0.4,3.7,4.3,4.8,3,3.7,4.2,2.5,3.4,4.2,3.6,4.4,4.6,4.1,4.9,5.8,1.1,1.5
10000,1.3,1.7,1.7,8.1,9.5,10,5.5,7,7.4,4.6,6.1,7.7,8.2,9.3,11.3,7.1,9.7,10.8,2.5,2.9

