n \ Type R,U 10^3,U 10^4,WC 10^3,WC 10^4,SC 10^3,SC 10^4,ISC 10^3,ISC 10^4,ASC 10^3,ASC 10^4,SS 10^3,SS 10^4,SW 10^5
50,1.5,23.9,0.6,23.7,0.7,24.4,0.9,29.3,0.6,25.5,0.9,26,632.2
100,9.5,126.1,10.6,127.3,9.8,126.1,12.3,133.1,8,107.2,6.9,99.1,x
200,39.3,412.3,37.9,414.9,38.3,414.9,46.1,501.8,38.3,411.9,38.2,412.6,x
500,243,x,242.2,x,241.2,x,290.7,x,241.2,x,239.9,x,x
1000,961.1,x,953.9,x,952.2,x,1186,x,997.9,x,1009.5,x,x
2000,x,x,x,x,x,x,x,x,x,x,x,x,x
5000,x,x,x,x,x,x,x,x,x,x,x,x,x
10000,x,x,x,x,x,x,x,x,x,x,x,x,x

