n \ ds,sp/u3,sp/wc3,sp/sc3,mstr3,pceil3,circle3
50,0,0.1,0.1,0.1,0.1,0
100,0.1,0.1,0.2,0.2,0.3,0.1
200,0.2,0.7,0.6,0.6,0.9,0.4
500,1.3,3.3,3.6,1.5,5.4,1.6
1000,5.3,12.1,12.1,2.8,13.4,3.3
2000,20.8,50.8,54.8,6.1,43.2,7
5000,126.6,305.1,360.7,21.1,344.3,20.8
10000,530,1288.1,1770.1,48.1,1340.5,44.2

