n \ Type R,U 10^3,U 10^4,WC 10^3,WC 10^4,SC 10^3,SC 10^4,ISC 10^3,ISC 10^4,ASC 10^3,ASC 10^4,SS 10^3,SS 10^4,SW 10^5
50,0,0,0.1,0.1,0.3,1.2,0.3,1.1,1,2,0.1,0.9,0.7
100,0,0,0.1,0.1,0.8,5.8,0.8,5.1,6.2,414,0.1,0.9,14.2
200,0.1,0.1,0.2,0.2,2.3,17.4,1.7,18,33.1,x,0,0.9,65
500,0.2,0.2,0.4,0.9,4.5,51,3.4,49.2,117.6,x,0.1,0.2,1021.6
1000,0.3,0.3,0.5,1.6,9.6,118.3,8.2,81.7,245,x,0.2,0.2,2954.2
2000,0.5,0.7,0.8,3.7,14.9,199.6,11.4,175,486.5,x,0.3,0.3,x
5000,1.2,1.9,1.2,9.4,34.2,544.1,30.9,442.5,1061.4,x,0.7,0.8,x
10000,2.2,4.5,2.1,18,63.7,937.2,67,881.8,1668.5,x,1.4,1.6,x

