n \ ds,n3,n4,n5,n6,n7,n8
50,0.2,0.2,0.2,0.2,0.2,0.2
100,1.6,1.7,1.8,1.8,1.8,1.8
200,10.6,12.7,12.5,12.5,12.7,12.7
500,123.9,169.4,174.2,173.9,175.1,175
1000,704.4,1224.3,1313.2,1319.3,1318.3,1317.2
2000,x,x,x,x,x,x
5000,x,x,x,x,x,x
10000,x,x,x,x,x,x
20000,x,x,x,x,x,x
50000,x,x,x,x,x,x
100000,x,x,x,x,x,x
200000,x,x,x,x,x,x
500000,x,x,x,x,x,x
1000000,x,x,x,x,x,x

