n \ Type R,U 10^5,U 10^6,U 10^7,WC 10^5,WC 10^6,WC 10^7,SC 10^5,SC 10^6,SC 10^7,ISC 10^5,ISC 10^6,ISC 10^7,ASC 10^5,ASC 10^6,ASC 10^7,SS 10^5,SS 10^6,SS 10^7,SW 10^7,SW 10^8
50,0,0,0,0.1,0.1,0.1,7.5,8.4,3.1,7.2,4.9,3.9,3.1,7,4,5,56.4,428.2,0.3,0.2
100,0,0,0,0.4,0.3,0.3,x,x,x,x,1817.1,x,971.7,2512.8,448.9,5.7,51.7,585.9,20.6,61.8
200,0.1,0.1,0.1,1.1,1.1,1.1,x,x,x,x,x,x,x,x,x,6.5,67.7,566.5,x,x
500,0.2,0.3,0.3,6.4,5.4,5.2,x,x,x,x,x,x,x,x,x,5.7,62.1,610.2,x,x
1000,0.8,0.8,0.7,17.9,17.8,17.6,x,x,x,x,x,x,x,x,x,7.6,60.1,605.4,x,x
2000,2.4,2.5,2,49.9,57.9,60.7,x,x,x,x,x,x,x,x,x,7.2,63.1,672.8,x,x
5000,10.8,10.4,10.5,239.8,238.7,224.6,x,x,x,x,x,x,x,x,x,6.7,60,497,x,x
10000,32.1,30.1,35.6,634.2,791.7,748.5,x,x,x,x,x,x,x,x,x,7.5,61.6,668.3,x,x

