n \ ds,n3,n4,n5,n6,n7,n8
50,0,0,0,0,0,0
100,0,0,0,0,0.1,0
200,0.1,0.1,0.1,0.1,0.1,0.1
500,0.1,0.2,0.2,0.2,0.2,0.2
1000,0.1,0.3,0.3,0.3,0.3,0.3
2000,0.1,0.5,0.6,0.6,0.6,0.6
5000,0.2,0.8,1.7,1.8,1.5,1.5
10000,0.3,1,2.5,3.2,3.2,3.3
20000,0.6,1.1,4.5,6.6,6.9,6.2
50000,1.2,1.9,8.3,15.6,18.1,16.8
100000,2.1,3.1,12.1,29.9,32.6,33.2
200000,4.5,6.2,14.1,56.3,71.8,65
500000,12.6,17.9,23.6,97.7,163.7,157.1
1000000,26.3,37.7,42.7,143,321.6,339.5

