n \ Type,U SP 2 10,WC SP 2 10,SC SP 2 10,MSTR 3R/10 2R/10 6,PCEIL 3,CIRCLE 2/3
50,0.2,0.1,0.1,0.2,0.4,0.3
100,0.1,0.1,0.1,0.5,0.7,2.8
200,0.2,0.1,0.1,1.5,1.7,11.5
500,0.2,0.2,0.2,3.8,3.2,32.6
1000,0.4,0.4,0.4,6.6,7.6,88.9
2000,0.7,0.8,0.8,15.8,14,159.4
5000,1.8,2.2,1.9,31.8,35.4,485.7
10000,4.6,4.8,3.7,61.5,50,1285.2

