n \ Type,U SP 2 10,WC SP 2 10,SC SP 2 10,MSTR 3R/10 2R/10 6,PCEIL 3,CIRCLE 2/3
50,0.1,0,0,0.1,0.2,0.2
100,0,0,0,0.5,0.3,2.4
200,0.1,0.1,0.1,1.4,0.6,9.8
500,0.1,0.2,0.1,3.4,0.6,27.5
1000,0.4,0.3,0.3,5.5,0.6,74.4
2000,0.5,0.8,0.5,13,0.9,131.5
5000,1.2,1.6,1.4,27.3,1.1,389.7
10000,3.6,4.3,3.3,53,2.3,1094.7

