n \ Type,U SP 2 10,WC SP 2 10,SC SP 2 10,MSTR 3R/10 2R/10 6,PCEIL 3,CIRCLE 2/3
50,0,0,0,0.1,0.1,0
100,0,0.1,0.1,0.2,0.4,0.1
200,0.1,0.4,0.3,0.6,1.3,0.5
500,0.8,1.7,1.4,1.9,4.4,1.6
1000,3,7.3,5.6,2.9,17,3.6
2000,12.2,30.3,19.8,9.8,64.8,6.6
5000,80.1,133.3,124.3,24.9,367.3,20.4
10000,411.5,568.4,518.8,52.4,1743.9,53.1

