n \ Type R,U 10^3,U 10^4,WC 10^3,WC 10^4,SC 10^3,SC 10^4,ISC 10^3,ISC 10^4,ASC 10^3,ASC 10^4,SS 10^3,SS 10^4,SW 10^5
50,0.30,3.10,0.30,3.10,0.40,3.90,0.50,4.50,0.40,3.30,0.40,3.80,149.90
100,1.20,12.70,1.30,12.70,1.70,16.60,1.70,18.30,1.70,13.80,1.30,13.70,60.50
200,5.10,56.0,5.40,54.50,6.0,65.30,6.50,74.50,6.30,57.60,5.0,54.90,2322.60
500,31.0,457.70,32.50,451.90,33.50,475.60,38.40,575.30,34.70,474.80,31.30,433.90,x
1000,123.90,2351.20,129.20,2315.10,130.10,2243.50,153.30,2713.50,133.0,2466.70,126.50,2085.30,x
2000,547.30,x,557.60,x,561.40,x,700.0,x,560.80,x,549.70,x,x
5000,x,x,x,x,x,x,x,x,x,x,x,x,x
10000,x,x,x,x,x,x,x,x,x,x,x,x,x

