n \ Type R,U 10^3,U 10^4,WC 10^3,WC 10^4,SC 10^3,SC 10^4,ISC 10^3,ISC 10^4,ASC 10^3,ASC 10^4,SS 10^3,SS 10^4,SW 10^5
50,0,0,0.1,0.1,0.6,2.4,0.3,1,0.4,0.8,0.8,14.2,0
100,0,0,0.2,0.2,2.1,19.7,1.9,12.7,2.1,4.7,1.3,68.3,0.1
200,0.1,0.1,1,0.9,9.6,110.4,8,99.1,10.8,31.9,0.8,231.1,0.9
500,0.2,0.3,3.5,8.6,51.6,1267.1,44.3,1667.3,63.3,386.8,0.1,360.6,14.7
1000,0.6,0.7,10,28.7,285.1,x,270.7,x,239.9,2494.8,0.2,410.3,124.2
2000,1.6,2.6,17.1,106.7,1204.4,x,1185.2,x,1208.6,x,0.3,0.3,866.1
5000,5.1,20.6,37.8,502.7,x,x,x,x,x,x,0.7,0.8,x
10000,11.5,52,51.1,2363.7,x,x,x,x,x,x,1.5,1.6,x

