n \ ds,u3,u4,wc3,wc4,sc3,sc4,isc3,isc4,asc3,asc4,ss3,ss4,sw5
50,1,9.6,1,9.7,1.1,9.7,1.3,11.8,1.1,9.7,1.2,10.9,241.9
100,3.9,38.5,4,38.9,4.5,42,5.2,50.1,4.5,39.7,4.4,43.8,982.1
200,15.7,157.3,16.2,158.7,18.1,175.6,20.7,205.7,18.3,164.2,17,169.2,x
500,97.3,1044,100.9,1053.6,109.4,1152.2,126.5,1344.7,110.1,1094.4,103.3,1088.3,x
1000,390.9,x,403.6,x,422,x,494.3,x,426.6,x,405.9,x,x
2000,1573.3,x,1613.7,x,1670.3,x,1977,x,1661.6,x,1604.3,x,x

