n \ ds,u3,u4,wc3,wc4,sc3,sc4,isc3,isc4,asc3,asc4,ss3,ss4,sw5
50,0,0,0,0,0.1,0.2,0.1,0.2,0.1,0.1,0.1,0.6,0
100,0,0,0,0,0.3,0.4,0.3,0.6,0.3,0.3,0.1,0.6,0.1
200,0,0,0.1,0.1,0.5,0.7,0.5,0.7,0.5,0.7,0.1,0.6,0.2
500,0,0,0.1,0.2,0.7,0.8,0.8,1,0.7,0.8,0.1,0.6,0.9
1000,0.1,0.1,0.1,0.3,0.9,1,1,1.1,0.8,1,0,0.5,1.8
2000,0.1,0.1,0.2,0.6,1.2,1.3,1.1,1.4,1.1,1.5,0.1,0.6,2.3
5000,0.2,0.3,0.2,1,2,2.4,2,2.2,2,2.9,0.1,0.4,4.1
10000,0.4,0.6,0.4,1.5,3.8,4.6,3.1,3.9,4.3,6.2,0.2,0.4,4.9

