n \ Type R,U 10^5,U 10^6,U 10^7,WC 10^5,WC 10^6,WC 10^7,SC 10^5,SC 10^6,SC 10^7,ISC 10^5,ISC 10^6,ISC 10^7,ASC 10^5,ASC 10^6,ASC 10^7,SS 10^5,SS 10^6,SS 10^7,SW 10^7,SW 10^8
50,0,0,0,0.1,0.1,0.1,4.4,12.9,4.7,4.8,9.2,6.6,4.3,20.1,6.1,10.9,146.1,2052.6,0.6,0.4
100,0,0,0,0.1,0.1,0.1,60.1,590.3,x,55.7,309.2,2130.8,2662.5,x,2006,13.7,230.1,2686.2,31.6,128.4
200,0.1,0.1,0.1,0.2,0.2,0.3,268.2,x,x,166.7,2196,x,x,x,x,18.5,355.8,x,x,x
