n \ ds,u5,u6,u7,wc5,wc6,wc7,sc5,sc6,sc7,isc5,isc6,isc7,asc5,asc6,asc7,ss5,ss6,ss7,sw7,sw8
50,0,0,0,0,0,0,1.6,1.7,2.8,0.8,1.4,0.9,0.3,0.2,0.2,7.6,92.9,1127,0,0
100,0,0,0,0,0.1,0.1,18.3,93.6,354,11.7,55.9,257.2,1.2,1.3,1,8.9,149.5,1612.2,0.1,0.1
200,0,0,0,0.1,0.1,0.1,97.8,804.7,x,95,775.6,x,7.3,8.9,7.2,9.7,167.1,1568.9,0.2,0.2
500,0.1,0.1,0.1,0.1,0.2,0.1,381.4,x,x,371.6,x,x,43,49.4,44,9.5,207.7,1795.3,1,1
1000,0.1,0.1,0.1,0.3,0.3,0.3,1086.8,x,x,1041.6,x,x,114.7,147.5,152.7,9.6,168.5,1887,3.9,3.9
2000,0.2,0.1,0.1,0.5,0.5,0.5,2500.4,x,x,2218.8,x,x,363,464.9,437.3,9.8,156.6,1888.6,16.7,16.7
5000,0.3,0.3,0.3,1.3,1.3,1.3,x,x,x,x,x,x,1259.7,1757.5,1821.5,12,172.6,1887.7,94.2,94.1
10000,0.6,0.6,0.6,2.2,2.5,2.3,x,x,x,x,x,x,2534.5,x,x,10,140.6,2096.6,220.3,219.9

