n \ ds,sp/u3,sp/wc3,sp/sc3,mstr3,pceil3,circle3
50,x,x,x,0.3,18.9,0.3
100,x,x,x,2,x,47.7
200,x,x,x,762.2,x,x
500,x,x,x,x,x,x
1000,x,x,x,x,x,x
2000,x,x,x,x,x,x
5000,x,x,x,x,x,x
10000,x,x,x,x,x,x

