n \ ds,u3,u4,wc3,wc4,sc3,sc4,isc3,isc4,asc3,asc4,ss3,ss4,sw5
50,0.2,2,0.2,2,0.3,2.1,0.3,2.6,0.2,2,0.3,2.6,95.4
100,0.7,7.9,0.8,8.1,1,9.3,1.1,11.7,0.9,8.4,0.9,9.7,374.8
200,2.9,38,3.2,38.8,3.6,43.3,4.2,54.1,3.6,39.8,3.5,42.2,1462.9
500,17.9,347.6,19.1,345.9,20.8,355.8,24.9,435.5,19.9,354.5,21,336.7,x
1000,75.1,1606,79.3,1584.2,83.6,1569.1,104.7,1884.9,79,1630.6,86.6,1485.4,x
2000,374.4,x,384.7,x,396.7,x,509.1,x,380.7,x,406.1,x,x

