n \ Type R,U 10^5,U 10^6,U 10^7,WC 10^5,WC 10^6,WC 10^7,SC 10^5,SC 10^6,SC 10^7,ISC 10^5,ISC 10^6,ISC 10^7,ASC 10^5,ASC 10^6,ASC 10^7,SS 10^5,SS 10^6,SS 10^7,SW 10^7,SW 10^8
50,0.1,0.1,0,0,0,0,1.5,2.9,1,1.4,1.4,1.5,0.2,0.2,0.2,7,96.8,1059.6,0,0
100,0,0,0,0.1,0.1,0.1,21.6,113,578,22.3,87.5,376.7,1,1.2,0.9,8.3,114.5,-1,0,0
200,0,0,0,0.1,0.1,0.1,127.1,867.9,-1,93.9,797.6,-1,4,4.3,4.9,9.4,138.5,1442.5,0,0.1
500,0.1,0.1,0.1,0.2,0.2,0.2,524.6,-1,-1,505.9,-1,-1,18.1,21.3,19.8,8.6,173.6,1500.3,0.2,0.2
1000,0.1,0.1,0.1,0.4,0.4,0.4,1398,-1,-1,1142,-1,-1,79.6,49.8,80.2,10.2,157,1620.2,0.5,0.5
2000,0.2,0.2,0.2,0.6,0.7,0.8,2661.2,-1,-1,2592.6,-1,-1,161.5,172.7,233.1,12.1,151.4,1716.2,1.4,0.9
5000,0.4,0.4,0.4,1.6,1.5,1.6,-1,-1,-1,-1,-1,-1,370.7,565.3,675.8,11,162,1488,2.7,13.4
10000,0.8,0.8,0.7,3,3.2,3.5,-1,-1,-1,-1,-1,-1,606.5,751.8,1718.9,11.3,195.3,1580.1,17.9,13

