n \ Type R,U 10^5,U 10^6,U 10^7,WC 10^5,WC 10^6,WC 10^7,SC 10^5,SC 10^6,SC 10^7,ISC 10^5,ISC 10^6,ISC 10^7,ASC 10^5,ASC 10^6,ASC 10^7,SS 10^5,SS 10^6,SS 10^7,SW 10^7,SW 10^8
50,0,0,0,0.1,0.1,0.1,1,4,2.2,1,2.4,1.4,2.2,5.7,2.9,5.8,45.9,557.8,0.2,0.2
100,0,0,0,0.2,0.1,0.1,3.4,14.7,95.9,2,19.2,104.3,756,2069.8,367.9,6.6,49,462.6,0.2,0.3
200,0,0,0,0.4,0.4,0.5,3.6,34.2,345.1,4.1,34,307.4,x,x,x,5.4,54.6,691.5,0.4,0.5
500,0.1,0.1,0.1,1.4,1.3,1.8,4.7,52.9,545.7,4.2,42.5,470.7,x,x,x,5.9,75.7,652.3,0.6,0.6
1000,0.3,0.2,0.3,4.3,4,4,4.5,46.7,628.2,4.4,47.6,733.2,x,x,x,3.4,60.3,639.4,0.7,0.7
2000,0.8,0.9,0.6,11.7,10.8,11.9,8.8,54.6,991,7.6,41.1,914.4,x,x,x,2.6,38.2,669.3,1.2,1.2
5000,3.4,3.3,3.7,43.9,44.8,38.4,8.6,18.2,1125.9,16.3,17,781.4,x,x,x,4.1,10.4,451.5,3.3,2.9
10000,8.8,12.1,10.3,106.1,121,108.6,13.4,15.3,284.1,12.6,13.2,481.4,x,x,x,6.3,10.5,168.1,9.4,5.9

