n \ Type,U SP 2 10,WC SP 2 10,SC SP 2 10,MSTR 3R/10 2R/10 6,PCEIL 3,CIRCLE 2/3
50,0,0,0,0.1,0.1,0.3
100,0.1,0.1,0.1,0.5,0.1,2.6
200,0.1,0.1,0.1,1.4,0.4,10.5
500,0.2,0.2,0.2,3.4,0.3,29.7
1000,0.3,0.4,0.4,5.8,0.4,80.8
2000,0.6,0.7,0.7,13.7,0.7,143
5000,1.5,1.8,1.6,27.2,1.4,426.6
10000,4.1,4.1,3.2,53.1,2.6,1174.4

