n \ ds,sp/u3,sp/wc3,sp/sc3,mstr3,pceil3,circle3
50,0,0,0,0.1,0.1,0.1
100,0.1,0.1,0.1,0.2,0.4,0.2
200,0.3,0.4,0.5,0.5,1.2,0.6
500,1.5,2,2.6,1.9,6.1,1.8
1000,6.9,7.9,8.3,4.4,21.4,4.7
2000,22.5,34.8,38.5,7.9,69.9,8.3
5000,163.5,217.7,232.8,34.3,625.4,26
10000,592.6,793,1036.8,60.2,1819.3,63.3

