n \ ds,u3,u4,wc3,wc4,sc3,sc4,isc3,isc4,asc3,asc4,ss3,ss4,sw5
50,20.7,260.3,20.7,259.8,20.8,256.2,24.7,309.7,20.8,260.5,20.9,256.7,359.5
100,99.8,1308.6,99.9,1308.6,100.1,1326,122.5,1668.7,99.8,1308.6,99.9,1325.5,1482.3
200,433.7,x,433.6,x,431.9,x,533.6,x,433.7,x,431.6,x,x
500,2778.1,x,2734.5,x,2770.3,x,x,x,2735.2,x,2815.4,x,x
1000,x,x,x,x,x,x,x,x,x,x,x,x,x
2000,x,x,x,x,x,x,x,x,x,x,x,x,x

