n \ ds,n3,n4,n5,n6,n7,n8
50,0.1,0.1,0.1,0.1,0.1,0.1
100,0.2,0.2,0.2,0.2,0.2,0.2
200,0.3,0.5,0.5,0.4,0.5,0.5
500,0.7,1.4,1.9,1.5,1.7,1.8
1000,1,3.5,4.5,4.9,4.6,4.9
2000,1.1,8.3,12.7,15.4,12.8,15.6
5000,1.5,26.6,50.7,54.8,49.2,53.5
10000,2.4,44.8,135.8,169.5,164,162.5
20000,4.4,57.6,364.5,439.5,486,427.4
50000,9.8,66.6,914.5,1873.9,2509,2436.2
100000,20.4,107.2,2490.5,x,x,x
200000,43.4,199.4,x,x,x,x
500000,117,590.6,x,x,x,x
1000000,271.4,1481.9,x,x,x,x

