n \ ds,u3,u4,wc3,wc4,sc3,sc4,isc3,isc4,asc3,asc4,ss3,ss4,sw5
50,0.8,6.8,0.7,6.4,0.8,7.4,0.8,7.7,0.9,7,0.6,5.9,189.2
100,2.8,28.3,2.8,27.2,3.2,32.1,3.2,33.1,3.5,30.6,2.5,25.4,799.9
200,15,168.3,14.8,162.7,15.9,182.4,16.2,193.4,17.7,183.1,13.2,149.1,x
500,172.7,2297.8,170.6,2214.2,173.4,2329.4,183.8,2552.6,193,2432.4,157.4,2117.1,x
1000,1290.3,x,1269,x,1237.2,x,1371.9,x,1385.4,x,1145.9,x,x
2000,x,x,x,x,x,x,x,x,x,x,x,x,x

