n \ ds,n3,n4,n5,n6,n7,n8
50,0,0,0,0,0,0
100,0,0.1,0.1,0.1,0.1,0.1
200,0.1,0.1,0.1,0.1,0.1,0.1
500,0.1,0.2,0.2,0.2,0.2,0.2
1000,0.1,0.3,0.3,0.4,0.3,0.3
2000,0.1,0.5,0.6,0.7,0.7,0.7
5000,0.3,1,1.9,1.9,1.6,1.6
10000,0.4,1.4,2.9,3.6,3.7,3.8
20000,1,2.1,5.3,7.5,7.7,6.9
50000,2.3,5.4,11.5,18.2,20.2,19
100000,3.8,10.6,19.4,34.5,37.3,37.3
200000,7.3,23.5,32.1,70.5,88.9,78.3
500000,20.9,64.8,84,165.9,232.9,229.8
1000000,44.3,131.6,181.2,288.1,491.3,520.8

