n \ Type R,U 10^3,U 10^4,WC 10^3,WC 10^4,SC 10^3,SC 10^4,ISC 10^3,ISC 10^4,ASC 10^3,ASC 10^4,SS 10^3,SS 10^4,SW 10^5
50,0.10,0.10,0.40,0.40,1.70,8.40,1.20,6.20,1.30,2.10,1.30,15.30,0.10
100,0.60,0.60,2.50,2.70,8.40,76.20,6.40,60.30,8.60,19.10,5.50,85.60,0.70
200,4.10,4.40,15.60,19.30,37.10,462.20,28.40,402.10,45.20,130.20,22.60,427.0,5.10
500,53.10,59.30,167.90,266.70,253.60,x,205.10,x,332.70,1469.30,150.50,x,70.30
1000,338.30,427.80,936.50,2129.10,1133.30,x,962.20,x,1521.60,x,847.60,x,509.30
2000,2338.90,x,x,x,x,x,x,x,x,x,x,x,x
5000,x,x,x,x,x,x,x,x,x,x,x,x,x
10000,x,x,x,x,x,x,x,x,x,x,x,x,x
