n \ Type R,U 10^3,U 10^4,WC 10^3,WC 10^4,SC 10^3,SC 10^4,ISC 10^3,ISC 10^4,ASC 10^3,ASC 10^4,SS 10^3,SS 10^4,SW 10^5
50,0,0,0,0,0.3,1.1,0.3,1,1,2,0.1,0.9,0.6
100,0,0,0.1,0.1,0.8,5.8,0.7,4.8,6.1,427.3,0.1,1.1,12.7
200,0,0,0.2,0.2,2.2,17.2,1.6,16.9,32.9,x,0.2,1.5,56.7
500,0.1,0.1,0.3,0.7,4.2,48.8,3.1,45.8,110.4,x,0.1,1.8,919.4
1000,0.2,0.2,0.4,1.2,8.8,114,7.4,76.5,223.7,x,0.2,2.2,2951.3
2000,0.3,0.5,0.6,3.2,14.1,198.1,10.6,180.3,476.7,x,0.1,1.7,x
5000,0.7,1.4,0.8,8.2,32.3,531.8,29.2,453.3,1011.2,x,0.2,1.7,x
10000,1.3,3.1,1.3,15.9,61.7,915.4,62.1,1019.5,1612.2,x,0.5,1.6,x

