n \ Type,U SP 2 10,WC SP 2 10,SC SP 2 10,MSTR 3R/10 2R/10 6,PCEIL 3,CIRCLE 2/3
50,0,0,0,0.3,0.4,0.2
100,0,0.1,0.1,1.8,1,1.3
200,0.1,0.2,0.1,6.7,3,7.6
500,0.3,0.7,0.5,38.5,10.3,48.8
1000,1.2,2.6,1.8,167,48.2,232.4
2000,3.7,10.5,6.5,900.6,171.5,902
5000,26,41.3,36.6,x,1810.6,x
10000,125.7,145.6,147.7,x,x,x

