n \ ds,u3,u4,wc3,wc4,sc3,sc4,isc3,isc4,asc3,asc4,ss3,ss4,sw5
50,0,0,0,0,0.1,0.5,0.1,0.4,0.1,0.2,0.1,0.7,0
100,0,0,0,0.1,0.5,3.2,0.4,3.2,0.4,1,0.1,0.8,0.1
200,0,0,0.1,0.1,1.4,14.8,1.1,11.6,1.6,5.2,0.1,0.9,0.2
500,0.1,0.1,0.1,0.2,4.5,41.4,4.4,44.5,4.7,24.4,0.1,0.9,0.8
1000,0.1,0.1,0.2,0.2,10.1,124.4,9.4,114.1,9.6,76.1,0.1,0.8,3
2000,0.1,0.2,0.2,0.4,19.5,193.1,20.8,203,17.5,174.9,0.1,0.9,9.8
5000,0.2,0.3,0.2,0.7,67.4,737.2,57.8,729.7,36,469.4,0.1,0.8,33.8
10000,0.3,0.5,0.3,1.1,138.1,1508.4,114.4,1577.5,39.8,766.5,0.1,0.6,40.6

