n \ Type R,U 10^3,U 10^4,WC 10^3,WC 10^4,SC 10^3,SC 10^4,ISC 10^3,ISC 10^4,ASC 10^3,ASC 10^4,SS 10^3,SS 10^4,SW 10^5
50,0,0,0.1,0.1,0.5,0.5,0.4,0.4,0.7,1.2,0.1,0.5,0.2
100,0,0,0.1,0.1,0.9,0.9,0.8,0.9,16.6,43.8,0.1,0.6,0.9
200,0,0,0.3,0.3,1.1,1.1,1.1,1.1,x,550.6,0.1,0.6,0.3
500,0.1,0.1,0.5,1.7,1.4,1.7,1.3,1.6,x,8.8,0.1,0.7,0.6
1000,0.2,0.3,0.8,3.3,1.7,2.4,1.7,2.3,x,x,0.1,0.6,1.3
2000,0.4,0.7,0.6,9,2.3,3.8,2.2,3.5,x,x,0.1,0.8,264
5000,0.9,3.3,0.4,21.6,5.3,10.3,4.6,11,x,x,0.1,0.7,x
10000,1.3,7.8,0.4,38.9,11.1,11.6,9.8,11.9,x,x,0.2,0.8,x

