n \ ds,u5,u6,u7,wc5,wc6,wc7,sc5,sc6,sc7,isc5,isc6,isc7,asc5,asc6,asc7,ss5,ss6,ss7,sw7,sw8
50,0,0,0,0,0,0,0.5,1.1,1.6,0.3,0.8,1.1,0.2,0.2,0.2,2.1,19.4,308.1,0,0
100,0,0,0,0,0.1,0.1,0.8,5.5,32.1,1,5.9,22.6,0.6,0.7,0.6,1.4,12.8,201.7,0.1,0.1
200,0,0,0,0.1,0.1,0.1,1.2,5.5,47.9,1.3,7.3,76.9,1.3,1.2,1.3,1.3,7.6,83.1,0.2,0.2
500,0.1,0.1,0.1,0.2,0.2,0.2,1.3,2.5,30.3,1.4,3,38.5,1.5,1.6,1.5,1.2,2.3,22.9,0.9,0.9
1000,0.1,0.1,0.1,0.3,0.4,0.4,1.2,1.7,15.2,1.6,1.9,12.6,1.8,2,1.9,1.3,1.5,11.4,1.3,1.3
2000,0.2,0.1,0.2,0.7,0.6,0.7,1.6,1.7,8.3,1.4,1.9,9.2,2.3,3,2.9,1.4,1.5,7.6,1.4,1.4
5000,0.3,0.4,0.3,1.7,1.6,1.7,2.8,3.6,4.1,2.5,3.1,4.4,3.9,4.5,4.9,1.5,1.7,3.1,2.5,2.5
10000,0.7,0.7,0.7,3,3.1,3,5.4,7.1,9.8,4.7,5.8,8.7,6.9,8.8,9.6,1.8,2.2,2.3,5.5,5.5

