n \ ds,u3,u4,wc3,wc4,sc3,sc4,isc3,isc4,asc3,asc4,ss3,ss4,sw5
50,0,0,0,0.1,0.4,0.5,0.5,0.5,1,2.1,0.1,0.6,0.4
100,0,0,0.1,0.1,0.8,0.9,0.8,0.9,45.2,24.6,0.1,0.7,0.7
200,0,0,0.2,0.3,1.1,1.2,1,1.2,x,x,0.1,0.6,0.9
500,0.1,0.1,0.4,1.5,1.4,1.7,1.4,1.7,x,1733.1,0.1,0.7,1.2
1000,0.2,0.2,0.6,2.6,1.7,2.4,1.7,2.5,x,x,0.1,0.6,1.6
2000,0.3,0.7,0.6,8,2.3,4,2.4,3.9,x,x,0.1,0.7,2.4
5000,0.8,2.3,0.3,23.5,5.5,12.8,5.1,6.5,x,x,0.1,0.7,5.1
10000,1.1,6.7,0.4,34.4,12.2,12.6,10.8,12.3,x,x,0.2,0.8,9

