n \ Type R,U 10^3,U 10^4,WC 10^3,WC 10^4,SC 10^3,SC 10^4,ISC 10^3,ISC 10^4,ASC 10^3,ASC 10^4,SS 10^3,SS 10^4,SW 10^5
50,0,0,0,0,0.1,0.5,0.2,0.4,0.1,0.1,0.1,0.8,0
100,0,0,0,0.1,0.6,2.8,0.5,2.6,0.3,0.7,0.1,0.8,0
200,0,0,0.1,0.1,2.1,10.5,1.4,11.3,1.4,3.3,0.1,0.7,0
500,0.1,0.1,0.1,0.2,5,44.3,3.7,45.2,4.3,16.2,0.1,0.6,0.1
1000,0.1,0.1,0.2,0.3,12.7,118.2,10.9,82.3,7.8,35.8,0.1,0.6,0.3
2000,0.1,0.2,0.2,0.6,22.9,240.1,18.2,227,13.7,103.2,0.1,0.7,1.3
5000,0.3,0.4,0.2,0.9,73.9,885.1,65.1,749.4,19.8,212.7,0.2,0.8,8
10000,0.4,0.7,0.4,1.4,165.4,1780.7,167.4,1716.9,18.6,212.7,0.3,0.8,12.2

